year,assaultrate_cl27,assaultrate_cl29,robrate_cl27,robrate_cl29
2000,29.04109589,8.907641819,30.1369863,4.219409283
2001,33.82069827,8.842967514,31.73942453,6.5158708
2002,32.69268873,9.241290084,28.23459481,6.468903059
2003,29.77737865,10.09266905,22.21486978,5.046334526
2004,15.36653711,7.287965747,17.174365,5.46597431
2005,7.360900628,15.8299412,15.58778956,9.045680687
2006,6.23337766,7.185843888,6.23337766,4.042037187
2007,4.394199656,6.689858175,5.592617745,3.56792436
2008,2.692100608,7.972362477,5.384201215,10.18690761
2009,3.707686033,8.357526172,5.56152905,7.917656374
2010,3.221188261,4.805591962,5.010737294,7.426823941
2011,3.221188261,3.494975972,2.863278454,4.368719965
2012,1.431639227,8.300567934,6.442376521,3.494975972
2013,1.07372942,6.989951944,5.010737294,15.72739187
2014,2.505368647,18.34862385,3.937007874,8.300567934
